t,XPos,YPos
20.1,-1.470575,-1.355452
20.2,-1.252275,-1.559355
20.3,-0.9528752,-1.758381
20.4,-0.5733061,-1.915998
20.5,-0.1487015,-1.994236
20.6,0.2957727,-1.977397
20.7,0.7148193,-1.867193
20.8,1.068729,-1.690445
20.9,1.338291,-1.4862
21,1.526588,-1.292053
21.1,1.642766,-1.140731
21.2,1.702739,-1.04913
21.3,1.714021,-1.030598
21.4,1.679622,-1.085749
21.5,1.594276,-1.20756
21.6,1.447875,-1.379672
21.7,1.228378,-1.578236
21.8,0.9263963,-1.772407
21.9,0.5497714,-1.922428
22,0.1263873,-1.994477
22.1,-0.308251,-1.976
22.2,-0.7246646,-1.864069
22.3,-1.066543,-1.691814
22.4,-1.3327,-1.49123
22.5,-1.507836,-1.313908
22.6,-1.616482,-1.177695
22.7,-1.669223,-1.101677
22.8,-1.674453,-1.093712
22.9,-1.631513,-1.156779
23,-1.5353,-1.281702
23.1,-1.373484,-1.453765
23.2,-1.136605,-1.64561
23.3,-0.828796,-1.820128
23.4,-0.4486695,-1.948921
23.5,-0.03439091,-1.99963
23.6,0.3840904,-1.962739
23.7,0.7608938,-1.84953
23.8,1.07731,-1.684981
23.9,1.312989,-1.508624
24,1.475441,-1.350208
24.1,1.573648,-1.234346
24.2,1.61547,-1.17909
24.3,1.609114,-1.187749
24.4,1.552902,-1.260339
24.5,1.443058,-1.384732
24.6,1.264003,-1.549908
24.7,1.015512,-1.722988
24.8,0.6995358,-1.873623
24.9,0.3266825,-1.973051
25,-0.0783549,-1.998381
25.1,-0.4703337,-1.943877
25.2,-0.8151909,-1.826308
25.3,-1.100648,-1.669885
25.4,-1.313877,-1.507866
25.5,-1.460078,-1.36679
25.6,-1.5455,-1.269414
25.7,-1.576174,-1.231128
25.8,-1.556829,-1.255501
25.9,-1.486464,-1.33806
26,-1.355601,-1.470453
26.1,-1.162487,-1.627401
26.2,-0.8917904,-1.790137
26.3,-0.5587605,-1.920313
26.4,-0.1885625,-1.991024
26.5,0.2015102,-1.989732
26.6,0.5714719,-1.916538
26.7,0.8940945,-1.78897
26.8,1.150671,-1.635805
26.9,1.342622,-1.482334
27,1.465469,-1.361018
27.1,1.531181,-1.286654
27.2,1.545697,-1.269181
27.3,1.510536,-1.310824
27.4,1.420003,-1.408389
27.5,1.271857,-1.543487
27.6,1.052622,-1.700537
27.7,0.7666225,-1.847163
27.8,0.4288663,-1.953398
27.9,0.05448883,-1.999199
28,-0.3266021,-1.973139
28.1,-0.678017,-1.881509
28.2,-0.9799751,-1.743397
28.3,-1.210462,-1.592063
28.4,-1.37388,-1.453416
28.5,-1.475426,-1.350228
28.6,-1.521725,-1.297826
28.7,-1.518142,-1.302015
28.8,-1.463893,-1.362714
28.9,-1.355335,-1.47071
29,-1.186119,-1.610271
29.1,-0.9482839,-1.760834
29.2,-0.6503333,-1.891246
29.3,-0.2977674,-1.977688
29.4,0.07955845,-1.998364
29.5,0.4433105,-1.950186
29.6,0.7775242,-1.842605
29.7,1.049756,-1.702304
29.8,1.257249,-1.555394
29.9,1.39854,-1.429705
30,1.484731,-1.339984
30.1,1.512599,-1.308451
30.2,1.489988,-1.33414
30.3,1.413361,-1.415056
30.4,1.281211,-1.535718
30.5,1.085773,-1.679571
30.6,0.8261169,-1.821347
30.7,0.5035377,-1.935498
30.8,0.1410487,-1.994971
30.9,-0.2337292,-1.986272
31,-0.5876375,-1.911658
31.1,-0.890269,-1.79087
31.2,-1.133468,-1.647756
31.3,-1.316352,-1.505702
31.4,-1.43263,-1.395544
31.5,-1.492981,-1.330791
31.6,-1.502634,-1.319883
31.7,-1.461673,-1.365103
31.8,-1.364673,-1.462054
31.9,-1.206265,-1.595245
32,-0.9822358,-1.74217
32.1,-0.7005941,-1.873264
32.2,-0.3658316,-1.96624
32.3,0.002694882,-1.999898
32.4,0.3734534,-1.964631
32.5,0.7081952,-1.870358
32.6,0.9883157,-1.738699
32.7,1.215,-1.588609
32.8,1.368335,-1.458627
32.9,1.462503,-1.36421
33,1.500076,-1.322789
33.1,1.486492,-1.338034
33.2,1.420861,-1.40752
33.3,1.297497,-1.521976
33.4,1.115273,-1.660124
33.5,0.8626876,-1.804349
33.6,0.5504362,-1.922533
33.7,0.2000571,-1.989024
33.8,-0.1639803,-1.993213
33.9,-0.5178327,-1.931729
34,-0.8277771,-1.820591
34.1,-1.0771,-1.685138
34.2,-1.262637,-1.551016
34.3,-1.390225,-1.437799
34.4,-1.455325,-1.371869
34.5,-1.468866,-1.357362
34.6,-1.431833,-1.396365
34.7,-1.341732,-1.483137
34.8,-1.193583,-1.604764
34.9,-0.9814904,-1.742604
35,-0.7130902,-1.868533
35.1,-0.390126,-1.961512
35.2,-0.04443563,-1.999431
35.3,0.3144799,-1.975105
35.4,0.6362454,-1.89608
35.5,0.909921,-1.780992
35.6,1.126567,-1.652493
35.7,1.282321,-1.534796
35.8,1.377861,-1.449654
35.9,1.417852,-1.410566
